Auteurs;Année;Année de soutenance;Titre;Titre journal;Année;Volume;Issue;Editeur scientifique;Titre ouvrage;Titre du volume;Editeur revue;Volume, Issue, Pages;ISBN;Titre conférence;Commentaire;Date congrès;Ville;Pays;Patent n°;Date de publication;Type de rapport;N°;Organisme de délivrance;Pages;Date de publication;Directeur de thèse;Université de soutenance;Année de soutenance;Organisme de délivrance;DOI;NNT;Pubmed;Référence;ArXiv;Description;Voir aussi;Réf. HAL;Rang HCERES;Rang CNRS
Sel O., Laberty-Robert C.;2015;;Y-a-t-il de la place pour les piles à combustible dans la transition énergétique?;L'Actualité Chimique;;;400-401;;;;;68-69;;;;;;;;;;;;;;;;;;;;;;;;;;
Sene S., Bégu S., Gervais C., Renaudin G., Mesbah A., Smith M., Mutin H., Van Der Lee A., Nedelec J.-M., Bonhomme C., Laurencin D.;2015;;Intercalation of benzoxaborolate anions in layered double hydroxides: toward hybrid formulations for benzoxaborole drugs;Chemistry of Materials;;27;;;;;;1242-1254;;;;;;;;;;;;;;;;;10.1021/cm504181w;;;;;;;;;
Seydou M., Lassoued K., Tielens F., Maurel F., Raouafi F., Diawara B.;2015;;A DFT-D study of hydrogen adsorption on functionalized graphene;RSC Advances;;5;19;;;;;14400-14406;;;;;;;;;;;;;;;;;10.1039/c4ra15665j;;;;;;;;;
Tidu A., Ghoubay-Benallaoua D., Lynch B., Haye B., Illoul C., Allain J.-M., Borderie V. M., Mosser G.;2015;;Development of human corneal epithelium on organized fibrillated transparent collagen matrices synthesized at high concentration;Acta Biomaterialia;;22;;;;;;50-58;;;;;;;;;;;;;;;;;10.1016/j.actbio.2015.04.018;;;;;;;;;
Tielens F., Bazin D.;2015;;Operando Characterization and DFT Modeling of Nanospinels: Some Examples Showing the Relationship with Catalytic Activity;Applied Catalysis A : General;;504;;;;;;631-641;;;;;;;;;;;;;;;;;10.1016/j.apcata.2015.01.049;;;;;;;;;
Tranca D. C., Keil F. J., Tranca I., Calatayud M., Dzwigaj S., Trejda M., Tielens F.;2015;;Methanol Oxidation to Formaldehyde on VSiBEA Zeolite: A Combined DFT/vdW/Transition Path Sampling and Experimental Study;Journal of Physical Chemistry C;;119;24;;;;;13619-13631;;;;;;;;;;;;;;;;;10.1021/acs.jpcc.5b01911;;;;;;;;;
Tranca D. C., Wojtaszek-Gurdak A., Ziolek M., Tielens F.;2015;;Supported and inserted monomeric niobium oxide species on/in silica: a molecular picture;Physical Chemistry Chemical Physics;;17;34;;;;;22402-22411;;;;;;;;;;;;;;;;;10.1039/C5CP03450G;;;;;;;;;
Valotteau C., Calers C., Casale S., Berton J., Stevens C. V., Babonneau F., Pradier C.-M., Humblot V., Baccile N.;2015;;Biocidal Properties of a Glycosylated Surface: Sophorolipids on Au(111);ACS Applied Materials & Interfaces;;7;32;;;;;18086-18095;;;;;;;;;;;;;;;;;10.1021/acsami.5b05090;;;;;;;;;
Velázquez M., Veber P., Buşe G., Petit Y., Goldner P., Jubera V., Rytz D., Jaffres A., Peltz M., Wesemann V., Aschehough P., Aka G.;2015;;Spectroscopic properties of newly flux grown and highly Yb3+-doped cubic RE2O3 (RE=Y, Gd, Lu) laser crystals;Optical Materials;;39;;;;;;258-264;;;;;;;;;;;;;;;;;10.1016/j.optmat.2014.11.037;;;;;;;;;
Victoria Tuttolomondo M., Manuel Galdoporpora J., Trichet L., Voisin H., Coradin T., Federico Desimone M.;2015;;Dye-collagen interactions. Mechanism, kinetic and thermodynamic analysis;RSC Advances;;5;71;;;;;57395-57405;;;;;;;;;;;;;;;;;10.1039/c5ra08611f;;;;;;;;;
